"","tplace","year","mois","temperature"
"206","Antalya",2030,"t2",10.48
"207","Antalya",2031,"t2",10.27
"208","Antalya",2032,"t2",11.63
"209","Antalya",2033,"t2",11.48
"210","Antalya",2034,"t2",11.34
"211","Antalya",2035,"t2",11.58
"212","Antalya",2036,"t2",11.17
"213","Antalya",2037,"t2",11.35
"214","Antalya",2038,"t2",11.31
"215","Antalya",2039,"t2",11.17
"216","Antalya",2040,"t2",11.04
"217","Antalya",2041,"t2",11.48
"218","Antalya",2042,"t2",11.11
"219","Antalya",2043,"t2",11.61
"220","Antalya",2044,"t2",11.1
"221","Antalya",2045,"t2",10.95
"222","Antalya",2046,"t2",11.24
"223","Antalya",2047,"t2",11.57
"224","Antalya",2048,"t2",10.98
"225","Antalya",2049,"t2",11.93
"226","Antalya",2050,"t2",11.95
"227","Antalya",2051,"t2",11.87
"228","Antalya",2052,"t2",11.93
"229","Antalya",2053,"t2",12.19
"230","Antalya",2054,"t2",12.93
"231","Antalya",2055,"t2",12.36
"232","Antalya",2056,"t2",12.37
"233","Antalya",2057,"t2",12.34
"234","Antalya",2058,"t2",12.64
"235","Antalya",2059,"t2",12.61
"236","Antalya",2060,"t2",11.88
"237","Antalya",2061,"t2",12.27
"238","Antalya",2062,"t2",12.36
"239","Antalya",2063,"t2",11.75
"240","Antalya",2064,"t2",12.97
"241","Antalya",2065,"t2",13.13
"242","Antalya",2066,"t2",12.49
"243","Antalya",2067,"t2",11.95
"244","Antalya",2068,"t2",12.25
"245","Antalya",2069,"t2",12.88
"246","Antalya",2070,"t2",11.32
"247","Antalya",2071,"t2",11.74
"248","Antalya",2072,"t2",12.98
"249","Antalya",2073,"t2",11.87
"250","Antalya",2074,"t2",11.05
"251","Antalya",2075,"t2",12.3
"252","Antalya",2076,"t2",12.89
"253","Antalya",2077,"t2",12.46
"254","Antalya",2078,"t2",12.41
"255","Antalya",2079,"t2",12.96
"256","Antalya",2080,"t2",13.09
"257","Antalya",2081,"t2",11.5
"258","Antalya",2082,"t2",12.24
"259","Antalya",2083,"t2",12.86
"260","Antalya",2084,"t2",12.44
"261","Antalya",2085,"t2",12.41
"262","Antalya",2086,"t2",13.11
"263","Antalya",2087,"t2",13.34
"264","Antalya",2088,"t2",13.13
"265","Antalya",2089,"t2",13.86
"266","Antalya",2090,"t2",12.42
"267","Antalya",2091,"t2",13.34
"268","Antalya",2092,"t2",13.16
"269","Antalya",2093,"t2",13.64
"270","Antalya",2094,"t2",12.5
"271","Antalya",2095,"t2",13.37
"272","Antalya",2096,"t2",13.13
"273","Antalya",1961,"t3",12.24
"274","Antalya",1962,"t3",11.74
"275","Antalya",1963,"t3",12.97
"276","Antalya",1964,"t3",11.97
"277","Antalya",1965,"t3",12.3
"278","Antalya",1966,"t3",12.25
"279","Antalya",1967,"t3",12.7
"280","Antalya",1968,"t3",11.79
"281","Antalya",1969,"t3",12.18
"282","Antalya",1970,"t3",12.61
"283","Antalya",1971,"t3",11.91
"284","Antalya",1972,"t3",12.76
"285","Antalya",1973,"t3",12.73
"286","Antalya",1974,"t3",11.91
"287","Antalya",1975,"t3",12.21
"288","Antalya",1976,"t3",12.08
"289","Antalya",1977,"t3",11.77
"290","Antalya",1978,"t3",11.9
"291","Antalya",1979,"t3",11.86
"292","Antalya",1980,"t3",12.14
"293","Antalya",1981,"t3",12.2
"294","Antalya",1982,"t3",11.9
"295","Antalya",1983,"t3",11.91
"296","Antalya",1984,"t3",12.68
"297","Antalya",1985,"t3",12.46
"298","Antalya",1986,"t3",12.48
"299","Antalya",1987,"t3",12.45
"300","Antalya",1988,"t3",11.55
"301","Antalya",1989,"t3",12.52
"302","Antalya",1990,"t3",12.36
"303","Antalya",1991,"t3",12.36
"304","Antalya",1992,"t3",12.71
"305","Antalya",1993,"t3",13.3
"306","Antalya",1994,"t3",11.74
"307","Antalya",1995,"t3",12.99
"308","Antalya",1996,"t3",13.09
"309","Antalya",1997,"t3",12.47
"310","Antalya",1998,"t3",12.82
"311","Antalya",1999,"t3",12.82
"312","Antalya",2000,"t3",13.66
"313","Antalya",2001,"t3",12.5
"314","Antalya",2002,"t3",12.58
"315","Antalya",2003,"t3",12.4
"316","Antalya",2004,"t3",12.48
"317","Antalya",2005,"t3",13.26
"318","Antalya",2006,"t3",12.36
"319","Antalya",2007,"t3",12.96
"320","Antalya",2008,"t3",12.62
"321","Antalya",2009,"t3",13.25
"322","Antalya",2010,"t3",12.78
"323","Antalya",2011,"t3",13
"324","Antalya",2012,"t3",12.99
"325","Antalya",2013,"t3",12.98
"326","Antalya",2014,"t3",12.67
"327","Antalya",2015,"t3",12.34
"328","Antalya",2016,"t3",13.78
"329","Antalya",2017,"t3",13.86
"330","Antalya",2018,"t3",12.49
"331","Antalya",2019,"t3",13.29
"332","Antalya",2020,"t3",12.8
"333","Antalya",2021,"t3",11.77
"334","Antalya",2022,"t3",12.47
"335","Antalya",2023,"t3",13.39
"336","Antalya",2024,"t3",13.31
"337","Antalya",2025,"t3",12.8
"338","Antalya",2026,"t3",13.5
"339","Antalya",2027,"t3",13.52
"340","Antalya",2028,"t3",12.94
"341","Antalya",2029,"t3",13.62
"342","Antalya",2030,"t3",13.63
"343","Antalya",2031,"t3",13
"344","Antalya",2032,"t3",13.29
"345","Antalya",2033,"t3",13.56
"346","Antalya",2034,"t3",14.09
"347","Antalya",2035,"t3",13.05
"348","Antalya",2036,"t3",14.21
"349","Antalya",2037,"t3",13.69
"350","Antalya",2038,"t3",14.01
"351","Antalya",2039,"t3",13.59
"352","Antalya",2040,"t3",13.44
"353","Antalya",2041,"t3",13.23
"354","Antalya",2042,"t3",13.49
"355","Antalya",2043,"t3",14.51
"356","Antalya",2044,"t3",13.84
"357","Antalya",2045,"t3",13.11
"358","Antalya",2046,"t3",14.08
"359","Antalya",2047,"t3",14.62
"360","Antalya",2048,"t3",14.26
"361","Antalya",2049,"t3",14.37
"362","Antalya",2050,"t3",14.15
"363","Antalya",2051,"t3",14.15
"364","Antalya",2052,"t3",14.86
"365","Antalya",2053,"t3",14.24
"366","Antalya",2054,"t3",14.66
"367","Antalya",2055,"t3",14.43
"368","Antalya",2056,"t3",14.6
"369","Antalya",2057,"t3",13.99
"370","Antalya",2058,"t3",14.88
"371","Antalya",2059,"t3",13.98
"372","Antalya",2060,"t3",14.1
"373","Antalya",2061,"t3",14.78
"374","Antalya",2062,"t3",14.6
"375","Antalya",2063,"t3",14.14
"376","Antalya",2064,"t3",14.78
"377","Antalya",2065,"t3",15.33
"378","Antalya",2066,"t3",16.56
"379","Antalya",2067,"t3",15.42
"380","Antalya",2068,"t3",14.77
"381","Antalya",2069,"t3",14.49
"382","Antalya",2070,"t3",13.64
"383","Antalya",2071,"t3",15.43
"384","Antalya",2072,"t3",15.09
"385","Antalya",2073,"t3",14.54
"386","Antalya",2074,"t3",13.73
"387","Antalya",2075,"t3",14.81
"388","Antalya",2076,"t3",13.82
"389","Antalya",2077,"t3",14.9
"390","Antalya",2078,"t3",15.82
"391","Antalya",2079,"t3",14.77
"392","Antalya",2080,"t3",15.73
"393","Antalya",2081,"t3",15.54
"394","Antalya",2082,"t3",14.6
"395","Antalya",2083,"t3",15.17
"396","Antalya",2084,"t3",15.17
"397","Antalya",2085,"t3",14.82
"398","Antalya",2086,"t3",15.28
"399","Antalya",2087,"t3",15.22
"400","Antalya",2088,"t3",15.4
"401","Antalya",2089,"t3",16.22
"402","Antalya",2090,"t3",16.2
"403","Antalya",2091,"t3",15.66
"404","Antalya",2092,"t3",15.09
"405","Antalya",2093,"t3",15.95
"406","Antalya",2094,"t3",15.89
"407","Antalya",2095,"t3",15.2
"408","Antalya",2096,"t3",15.89
"409","Antalya",1961,"t4",17.23
"410","Antalya",1962,"t4",15.71
"411","Antalya",1963,"t4",15.54
"412","Antalya",1964,"t4",15.67
"413","Antalya",1965,"t4",15.16
"414","Antalya",1966,"t4",15.37
"415","Antalya",1967,"t4",14.79
"416","Antalya",1968,"t4",15.63
"417","Antalya",1969,"t4",15.29
"418","Antalya",1970,"t4",15.76
"419","Antalya",1971,"t4",14.96
"420","Antalya",1972,"t4",15.86
"421","Antalya",1973,"t4",15.1
"422","Antalya",1974,"t4",15.43
"423","Antalya",1975,"t4",15.9
"424","Antalya",1976,"t4",15.08
"425","Antalya",1977,"t4",14.7
"426","Antalya",1978,"t4",16.51
"427","Antalya",1979,"t4",15.21
"428","Antalya",1980,"t4",15.93
"429","Antalya",1981,"t4",16.02
"430","Antalya",1982,"t4",14.76
"431","Antalya",1983,"t4",15.41
"432","Antalya",1984,"t4",15.85
"433","Antalya",1985,"t4",15.69
"434","Antalya",1986,"t4",15.42
"435","Antalya",1987,"t4",15.83
"436","Antalya",1988,"t4",15.95
"437","Antalya",1989,"t4",15.5
"438","Antalya",1990,"t4",15.25
"439","Antalya",1991,"t4",15.52
"440","Antalya",1992,"t4",16.06
"441","Antalya",1993,"t4",16.36
"442","Antalya",1994,"t4",15.91
"443","Antalya",1995,"t4",15.79
"444","Antalya",1996,"t4",15.59
"445","Antalya",1997,"t4",16.86
"446","Antalya",1998,"t4",16.74
"447","Antalya",1999,"t4",16.45
"448","Antalya",2000,"t4",16.13
"449","Antalya",2001,"t4",16.7
"450","Antalya",2002,"t4",16.2
"451","Antalya",2003,"t4",15.88
"452","Antalya",2004,"t4",17.14
"453","Antalya",2005,"t4",15.71
"454","Antalya",2006,"t4",15.25
"455","Antalya",2007,"t4",15.76
"456","Antalya",2008,"t4",15.72
"457","Antalya",2009,"t4",16.83
"458","Antalya",2010,"t4",16.08
"459","Antalya",2011,"t4",16.21
"460","Antalya",2012,"t4",16.23
"461","Antalya",2013,"t4",16.19
"462","Antalya",2014,"t4",16.12
"463","Antalya",2015,"t4",16.25
"464","Antalya",2016,"t4",15.79
"465","Antalya",2017,"t4",17.65
"466","Antalya",2018,"t4",15.61
"467","Antalya",2019,"t4",15.8
"468","Antalya",2020,"t4",16.41
"469","Antalya",2021,"t4",16.34
"470","Antalya",2022,"t4",16
"471","Antalya",2023,"t4",17.12
"472","Antalya",2024,"t4",16.31
"473","Antalya",2025,"t4",16.59
"474","Antalya",2026,"t4",16.42
"475","Antalya",2027,"t4",16.57
"476","Antalya",2028,"t4",17.64
"477","Antalya",2029,"t4",17.19
"478","Antalya",2030,"t4",16.99
"479","Antalya",2031,"t4",16.7
"480","Antalya",2032,"t4",16.48
"481","Antalya",2033,"t4",17.02
"482","Antalya",2034,"t4",16.83
"483","Antalya",2035,"t4",17.67
"484","Antalya",2036,"t4",17.07
"485","Antalya",2037,"t4",16.79
"486","Antalya",2038,"t4",17.84
"487","Antalya",2039,"t4",17.05
"488","Antalya",2040,"t4",16.48
"489","Antalya",2041,"t4",16.55
"490","Antalya",2042,"t4",16.92
"491","Antalya",2043,"t4",16.9
"492","Antalya",2044,"t4",17.82
"493","Antalya",2045,"t4",17.03
"494","Antalya",2046,"t4",17.48
"495","Antalya",2047,"t4",17.34
"496","Antalya",2048,"t4",17.79
"497","Antalya",2049,"t4",18.14
"498","Antalya",2050,"t4",17.18
"499","Antalya",2051,"t4",17.49
"500","Antalya",2052,"t4",18.72
"501","Antalya",2053,"t4",17.99
"502","Antalya",2054,"t4",17.02
"503","Antalya",2055,"t4",17.89
"504","Antalya",2056,"t4",19.06
"505","Antalya",2057,"t4",17.44
"506","Antalya",2058,"t4",17.32
"507","Antalya",2059,"t4",18
"508","Antalya",2060,"t4",17.61
"509","Antalya",2061,"t4",17.46
"510","Antalya",2062,"t4",19.14
"511","Antalya",2063,"t4",17.64
"512","Antalya",2064,"t4",18.67
"513","Antalya",2065,"t4",17.95
"514","Antalya",2066,"t4",19.1
"515","Antalya",2067,"t4",19.19
"516","Antalya",2068,"t4",17.63
"517","Antalya",2069,"t4",16.94
"518","Antalya",2070,"t4",19.34
"519","Antalya",2071,"t4",17.72
"520","Antalya",2072,"t4",17.91
"521","Antalya",2073,"t4",18.77
"522","Antalya",2074,"t4",18.38
"523","Antalya",2075,"t4",17.35
"524","Antalya",2076,"t4",18.07
"525","Antalya",2077,"t4",17.95
"526","Antalya",2078,"t4",18.95
"527","Antalya",2079,"t4",19.05
"528","Antalya",2080,"t4",19.51
"529","Antalya",2081,"t4",19.31
"530","Antalya",2082,"t4",19.34
"531","Antalya",2083,"t4",19.09
"532","Antalya",2084,"t4",18.76
"533","Antalya",2085,"t4",18.92
"534","Antalya",2086,"t4",19.3
"535","Antalya",2087,"t4",18.96
"536","Antalya",2088,"t4",18.97
"537","Antalya",2089,"t4",18.87
"538","Antalya",2090,"t4",18.74
"539","Antalya",2091,"t4",20.03
"540","Antalya",2092,"t4",18.74
"541","Antalya",2093,"t4",18.5
"542","Antalya",2094,"t4",18.23
"543","Antalya",2095,"t4",19.87
"544","Antalya",2096,"t4",19.36
"545","Antalya",1961,"t5",20.34
"546","Antalya",1962,"t5",19.39
"547","Antalya",1963,"t5",19.49
"548","Antalya",1964,"t5",19.79
"549","Antalya",1965,"t5",18.63
"550","Antalya",1966,"t5",19.91
"551","Antalya",1967,"t5",19.55
"552","Antalya",1968,"t5",19.34
"553","Antalya",1969,"t5",19.64
"554","Antalya",1970,"t5",19.29
"555","Antalya",1971,"t5",19.11
"556","Antalya",1972,"t5",19.37
"557","Antalya",1973,"t5",19.6
"558","Antalya",1974,"t5",19.75
"559","Antalya",1975,"t5",20
"560","Antalya",1976,"t5",19.1
"561","Antalya",1977,"t5",19.62
"562","Antalya",1978,"t5",21
"563","Antalya",1979,"t5",19.72
"564","Antalya",1980,"t5",19.67
"565","Antalya",1981,"t5",19.65
"566","Antalya",1982,"t5",19.02
"567","Antalya",1983,"t5",19.16
"568","Antalya",1984,"t5",19.3
"569","Antalya",1985,"t5",20.11
"570","Antalya",1986,"t5",18.6
"571","Antalya",1987,"t5",19.64
"572","Antalya",1988,"t5",19.67
"573","Antalya",1989,"t5",20.31
"574","Antalya",1990,"t5",20.1
"575","Antalya",1991,"t5",19.71
"576","Antalya",1992,"t5",21.08
"577","Antalya",1993,"t5",20.91
"578","Antalya",1994,"t5",19.67
"579","Antalya",1995,"t5",20.28
"580","Antalya",1996,"t5",20.52
"581","Antalya",1997,"t5",20.48
"582","Antalya",1998,"t5",19.81
"583","Antalya",1999,"t5",19.95
"584","Antalya",2000,"t5",19.42
"585","Antalya",2001,"t5",20.3
"586","Antalya",2002,"t5",20.64
"587","Antalya",2003,"t5",20.42
"588","Antalya",2004,"t5",21.02
"589","Antalya",2005,"t5",20.01
"590","Antalya",2006,"t5",19.28
"591","Antalya",2007,"t5",19.42
"592","Antalya",2008,"t5",20.01
"593","Antalya",2009,"t5",20.99
"594","Antalya",2010,"t5",20.05
"595","Antalya",2011,"t5",20.14
"596","Antalya",2012,"t5",21.39
"597","Antalya",2013,"t5",21.21
"598","Antalya",2014,"t5",19.77
"599","Antalya",2015,"t5",20.41
"600","Antalya",2016,"t5",19.52
"601","Antalya",2017,"t5",21.14
"602","Antalya",2018,"t5",20.97
"603","Antalya",2019,"t5",21.26
"604","Antalya",2020,"t5",21.15
"605","Antalya",2021,"t5",21.45
"606","Antalya",2022,"t5",21.25
"607","Antalya",2023,"t5",20.93
"608","Antalya",2024,"t5",20.98
"609","Antalya",2025,"t5",20.61
"610","Antalya",2026,"t5",20.82
"611","Antalya",2027,"t5",20.25
"612","Antalya",2028,"t5",21.4
"613","Antalya",2029,"t5",20.54
"614","Antalya",2030,"t5",20.64
"615","Antalya",2031,"t5",21.41
"616","Antalya",2032,"t5",22.36
"617","Antalya",2033,"t5",21.65
"618","Antalya",2034,"t5",21.47
"619","Antalya",2035,"t5",21.88
"620","Antalya",2036,"t5",21.52
"621","Antalya",2037,"t5",21.89
"622","Antalya",2038,"t5",21.44
"623","Antalya",2039,"t5",21.04
"624","Antalya",2040,"t5",21.27
"625","Antalya",2041,"t5",20.89
"626","Antalya",2042,"t5",21.58
"627","Antalya",2043,"t5",21.88
"628","Antalya",2044,"t5",22.57
"629","Antalya",2045,"t5",21.55
"630","Antalya",2046,"t5",22.25
"631","Antalya",2047,"t5",22.09
"632","Antalya",2048,"t5",22.34
"633","Antalya",2049,"t5",22.45
"634","Antalya",2050,"t5",21.54
"635","Antalya",2051,"t5",22.97
"636","Antalya",2052,"t5",23
"637","Antalya",2053,"t5",22.68
"638","Antalya",2054,"t5",22.66
"639","Antalya",2055,"t5",22.54
"640","Antalya",2056,"t5",22.32
"641","Antalya",2057,"t5",22.08
"642","Antalya",2058,"t5",21.99
"643","Antalya",2059,"t5",22.72
"644","Antalya",2060,"t5",22.38
"645","Antalya",2061,"t5",22.48
"646","Antalya",2062,"t5",23.1
"647","Antalya",2063,"t5",23.11
"648","Antalya",2064,"t5",22.64
"649","Antalya",2065,"t5",22.37
"650","Antalya",2066,"t5",23.16
"651","Antalya",2067,"t5",22.72
"652","Antalya",2068,"t5",22.73
"653","Antalya",2069,"t5",21.93
"654","Antalya",2070,"t5",24.05
"655","Antalya",2071,"t5",23.32
"656","Antalya",2072,"t5",23.39
"657","Antalya",2073,"t5",23.58
"658","Antalya",2074,"t5",22.61
"659","Antalya",2075,"t5",22.35
"660","Antalya",2076,"t5",23.42
"661","Antalya",2077,"t5",23.18
"662","Antalya",2078,"t5",23.71
"663","Antalya",2079,"t5",24.43
"664","Antalya",2080,"t5",24.09
"665","Antalya",2081,"t5",22.86
"666","Antalya",2082,"t5",24.22
"667","Antalya",2083,"t5",23.39
"668","Antalya",2084,"t5",23.92
"669","Antalya",2085,"t5",23.13
"670","Antalya",2086,"t5",23.38
"671","Antalya",2087,"t5",23.26
"672","Antalya",2088,"t5",23.11
"673","Antalya",2089,"t5",23.06
"674","Antalya",2090,"t5",23.67
"675","Antalya",2091,"t5",24.66
"676","Antalya",2092,"t5",23.38
"677","Antalya",2093,"t5",24.81
"678","Antalya",2094,"t5",23.8
"679","Antalya",2095,"t5",24.91
"680","Antalya",2096,"t5",24.48
"681","Antalya",1961,"t6",24.64
"682","Antalya",1962,"t6",24.58
"683","Antalya",1963,"t6",24.38
"684","Antalya",1964,"t6",24.31
"685","Antalya",1965,"t6",25.07
"686","Antalya",1966,"t6",23.52
"687","Antalya",1967,"t6",23.83
"688","Antalya",1968,"t6",24.25
"689","Antalya",1969,"t6",23.53
"690","Antalya",1970,"t6",25.07
"691","Antalya",1971,"t6",23.98
"692","Antalya",1972,"t6",23.1
"693","Antalya",1973,"t6",24.65
"694","Antalya",1974,"t6",24.56
"695","Antalya",1975,"t6",24.27
"696","Antalya",1976,"t6",23.73
"697","Antalya",1977,"t6",24.51
"698","Antalya",1978,"t6",25.65
"699","Antalya",1979,"t6",24.21
"700","Antalya",1980,"t6",26.22
"701","Antalya",1981,"t6",24.75
"702","Antalya",1982,"t6",23.86
"703","Antalya",1983,"t6",23.76
"704","Antalya",1984,"t6",23.98
"705","Antalya",1985,"t6",24.22
"706","Antalya",1986,"t6",24.75
"707","Antalya",1987,"t6",25.64
"708","Antalya",1988,"t6",24.68
"709","Antalya",1989,"t6",25.2
"710","Antalya",1990,"t6",24.7
"711","Antalya",1991,"t6",24.18
"712","Antalya",1992,"t6",25.27
"713","Antalya",1993,"t6",25.42
"714","Antalya",1994,"t6",24.14
"715","Antalya",1995,"t6",25.1
"716","Antalya",1996,"t6",24.68
"717","Antalya",1997,"t6",25.55
"718","Antalya",1998,"t6",25.58
"719","Antalya",1999,"t6",24.8
"720","Antalya",2000,"t6",25.48
"721","Antalya",2001,"t6",24.27
"722","Antalya",2002,"t6",25.21
"723","Antalya",2003,"t6",26.07
"724","Antalya",2004,"t6",25.27
"725","Antalya",2005,"t6",25.76
"726","Antalya",2006,"t6",24.82
"727","Antalya",2007,"t6",25.83
"728","Antalya",2008,"t6",25.52
"729","Antalya",2009,"t6",26.31
"730","Antalya",2010,"t6",25.23
"731","Antalya",2011,"t6",25.12
"732","Antalya",2012,"t6",25.63
"733","Antalya",2013,"t6",25.45
"734","Antalya",2014,"t6",25.07
"735","Antalya",2015,"t6",24.73
